username,followers,tweet_time,likes,retweets,score,pump_timing,tweet_url
whalewatchalert,185140,2026-05-11T19:10:34+00:00,0,0,74056.0,DURING (+7m),https://x.com/whalewatchalert/status/2053915688641659245
whalewatchalert,185140,2026-05-11T19:08:09+00:00,0,0,74056.0,DURING (+5m),https://x.com/whalewatchalert/status/2053915077628088622
whalewatchalert,185140,2026-05-11T19:05:33+00:00,0,0,74056.0,DURING (+2m),https://x.com/whalewatchalert/status/2053914424121946531
Ordinalsnfts_,12704,2026-05-11T19:10:33+00:00,13,0,5086.8,DURING (+7m),https://x.com/Ordinalsnfts_/status/2053915683613032912
Ordinalsnfts_,12704,2026-05-11T19:06:58+00:00,11,3,5086.6,DURING (+3m),https://x.com/Ordinalsnfts_/status/2053914782764580892
EquiumEQM,4223,2026-05-11T19:03:04+00:00,126,11,1741.8,DURING (+0m),https://x.com/EquiumEQM/status/2053913799497756799
EquiumEQM,4223,2026-05-11T18:41:27+00:00,7,0,1692.0,PRE-PUMP (-21m),https://x.com/EquiumEQM/status/2053908359724572923
0Xfunny_s,3764,2026-05-11T19:06:27+00:00,0,0,1505.6,DURING (+3m),https://x.com/0Xfunny_s/status/2053914653206667735
0xfrank0814,2399,2026-05-11T19:08:12+00:00,1,0,960.0,DURING (+5m),https://x.com/0xfrank0814/status/2053915091058438426
crypto_ser_,1627,2026-05-11T19:08:39+00:00,1,0,651.2,DURING (+5m),https://x.com/crypto_ser_/status/2053915204719931672
yesimola169204,642,2026-05-11T19:03:32+00:00,0,0,256.8,DURING (+0m),https://x.com/yesimola169204/status/2053913917835866366
Puppets1914,639,2026-05-11T19:09:55+00:00,0,0,255.6,DURING (+6m),https://x.com/Puppets1914/status/2053915523373793298
simosolsniper,607,2026-05-11T19:02:54+00:00,0,0,242.8,PRE-PUMP (+0m),https://x.com/simosolsniper/status/2053913758687261118
CNSOLFOMO,371,2026-05-11T19:03:06+00:00,0,0,148.4,DURING (+0m),https://x.com/CNSOLFOMO/status/2053913810499440833
BlackhatPNL,357,2026-05-11T19:03:06+00:00,1,0,143.2,DURING (+0m),https://x.com/BlackhatPNL/status/2053913806682656843
s2RSKsn,266,2026-05-11T19:03:04+00:00,0,0,106.4,DURING (+0m),https://x.com/s2RSKsn/status/2053913802047955068
ETHBASEAlerts,253,2026-05-11T19:03:10+00:00,1,0,101.6,DURING (+0m),https://x.com/ETHBASEAlerts/status/2053913823912800420
BossP369,228,2026-05-11T19:14:01+00:00,0,0,91.2,DURING (+11m),https://x.com/BossP369/status/2053916554291748937
BossP369,228,2026-05-11T19:08:01+00:00,0,0,91.2,DURING (+5m),https://x.com/BossP369/status/2053915045323813253
pervita09riko,210,2026-05-11T19:03:09+00:00,1,0,84.4,DURING (+0m),https://x.com/pervita09riko/status/2053913821136224603
solanamultibuy,180,2026-05-11T19:03:08+00:00,0,0,72.0,DURING (+0m),https://x.com/solanamultibuy/status/2053913815599722539
sutandogurasu,159,2026-05-11T19:03:08+00:00,0,0,63.6,DURING (+0m),https://x.com/sutandogurasu/status/2053913818531532809
L_Panda1510,117,2026-05-11T19:03:07+00:00,0,0,46.8,DURING (+0m),https://x.com/L_Panda1510/status/2053913812181357038
ens987,19,2026-05-11T19:04:22+00:00,0,0,7.6,DURING (+1m),https://x.com/ens987/status/2053914126632808958
